City,2020-03-06,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07
City Of Caloocan,0,0,0,0,0,0,0,2,3,3,5,5,5,5,6,7,8,8,8,9,11,14,23,28,40,48,57,63,64,71,80,83,86,94,94,99,102,110,114,123,127,169,173,175,179,182,183,187,190,192,202,204,205,211,215,222,223,224,224,234,236,236
City Of Las Piñas,0,0,0,0,1,1,1,1,2,3,5,6,6,6,7,10,10,15,18,18,19,26,30,30,49,52,55,62,62,65,74,76,78,84,86,95,97,112,130,133,137,139,150,152,154,154,157,160,161,162,166,167,168,182,184,195,198,199,199,200,200,200
City Of Makati,0,1,2,3,8,8,11,15,15,16,19,19,20,20,25,32,38,49,56,60,69,81,105,109,150,161,181,206,211,217,234,236,243,257,264,277,279,292,307,324,334,345,356,370,376,377,379,381,388,393,405,406,413,425,431,435,438,441,455,464,471,471
City Of Malabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,4,4,10,10,10,11,11,12,16,16,18,23,25,26,26,26,26,26,27,27,28,28,28,28,29,29,30,31,38,39,40,42,44,46,46,47,47,49,58,58
City Of Mandaluyong,0,0,0,0,1,2,2,5,8,8,10,10,10,12,20,21,24,28,30,31,34,49,64,67,94,104,128,146,147,158,187,192,197,204,213,225,232,246,261,279,284,296,303,315,328,330,336,352,356,358,376,382,384,394,396,397,399,400,400,404,404,404
City Of Marikina,0,1,1,5,5,5,6,6,7,7,7,7,7,8,9,12,15,15,18,21,24,26,33,35,43,46,52,56,58,64,77,77,78,84,89,95,96,101,103,104,106,108,109,112,114,115,115,115,116,118,118,120,124,128,129,131,132,132,132,134,135,135
City Of Muntinlupa,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,6,6,8,17,21,23,31,36,37,48,56,59,65,65,68,76,77,79,81,82,87,89,96,99,104,115,118,121,130,134,135,136,136,138,138,143,144,144,154,155,159,160,162,173,175,176,176
City Of Navotas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,5,5,10,12,12,13,13,16,16,17,17,19,19,22,25,25,25,25,26,27,29,29,30,30,30,31,32,34,34,34,34,39,39,39
City Of Parañaque,0,0,0,0,0,0,1,2,5,5,6,6,6,6,8,13,19,26,31,35,38,57,68,72,104,116,129,154,157,165,192,202,209,218,220,230,251,267,302,316,325,328,343,360,366,372,373,375,377,377,393,398,398,418,423,441,449,462,471,494,499,499
City Of Pasig,0,1,3,3,5,5,6,10,12,12,15,17,19,21,25,30,35,41,43,44,48,59,79,84,109,120,134,143,148,152,167,171,176,184,188,201,215,223,233,242,250,252,255,260,267,269,272,272,274,275,282,283,292,295,298,299,299,300,300,303,307,307
City Of San Juan,0,0,5,7,8,8,10,15,17,17,21,26,29,29,41,42,46,54,59,63,69,90,100,104,126,131,138,146,147,148,150,150,155,161,162,162,173,178,194,195,202,208,210,211,213,215,216,219,219,219,223,223,226,226,229,235,235,240,242,242,242,242
City Of Taguig,1,1,1,1,1,1,1,4,4,4,7,7,7,7,9,13,13,22,28,30,32,43,51,53,66,76,84,100,101,106,126,131,135,153,154,161,173,183,190,197,201,202,208,216,220,223,223,225,229,231,240,243,244,252,258,262,265,266,279,281,283,283
City Of Valenzuela,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,3,4,7,7,12,16,17,21,21,21,33,35,36,41,43,46,48,51,51,52,52,52,53,61,61,82,83,84,84,84,86,89,93,97,99,103,103,107,107,108,108,108
City of Manila,0,0,1,1,2,2,2,5,7,7,13,13,14,15,20,26,43,50,53,60,70,90,122,132,185,198,232,276,285,299,339,348,355,377,385,406,423,444,463,488,502,516,545,555,578,583,589,599,610,616,638,647,655,681,690,696,703,715,720,739,749,749
Pasay City,0,0,1,1,1,1,1,2,3,3,3,3,3,3,3,6,7,7,9,10,12,17,21,23,36,47,54,71,71,72,78,79,80,86,87,100,105,112,118,132,136,136,146,154,158,160,163,163,170,170,179,180,181,195,197,200,206,209,214,224,227,227
Pateros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,5,5,6,6,7,9,9,9,12,12,12,12,12,15,15,16,16,16,16,18,18,19,20,20,20,21,21,21,21,22,22,22,22,22,23,23,24,24,24,24
Quezon City,0,1,2,2,4,5,6,16,23,23,32,35,40,47,62,76,93,104,117,130,158,211,313,339,449,497,563,626,637,658,744,757,775,806,829,866,899,953,989,1031,1059,1090,1111,1124,1136,1141,1150,1170,1186,1203,1221,1248,1282,1311,1331,1347,1350,1367,1383,1433,1452,1453
